index,outcome,mean,std
0,any_spend,0.02987955712047563,0.017745014930768688
1,mpc_10plus,0.03224688060152756,0.012952650648538136
2,mpc_25plus,0.027225710406292514,0.012800947845905132
3,mpc_50plus,0.02559770518082553,0.012206440527426839
4,mpc_alt,0.031159351884534732,0.012785769157478487
5,mpc_midpoint,0.031641643182071924,0.013300334026459113
6,outcome_ord,0.030309678088695967,0.01481124303132251
