sample,contrast,N,calibration,cal_se,cal_lo,cal_hi,cal_p,top_bottom,tb_se,tb_lo,tb_hi
R,food-cash,3634,-0.25916658529617226,0.1957554734606545,-0.6428402630556415,0.12450709246329694,0.18552622361159377,-0.039711141887984885,0.02889688297189315,-0.09634903251289546,0.016926748736925692
R,medical-cash,3661,0.3285423137619617,0.16988004133454077,-0.00441644894591392,0.6615010764698372,0.05311724336454318,0.03846875837019337,0.02761499510451723,-0.015656632034660403,0.09259414877504714
C,food-cash,3416,-0.6256770065610109,0.21339832683854676,-1.0439300415256698,-0.207423971596352,0.003368217505247771,-0.07277919461170973,0.0301716314296405,-0.1319155922138051,-0.01364279700961435
C,medical-cash,3452,0.6115778461137916,0.1659684080463195,0.2862857437715577,0.9368699484560256,0.00022878780045560782,0.07288099598939873,0.028118529074429275,0.017768679003517356,0.1279933129752801
Q1,food-cash,1781,-0.7393769899827263,0.24905430940731288,-1.2275144666155546,-0.25123951334989786,0.002990254448641183,-0.11473627098446829,0.04318493889682077,-0.199378751222237,-0.030093790746699572
Q1,medical-cash,1814,0.24590895180267752,0.2234747599196101,-0.19209352909349348,0.6839114326988485,0.2711630897030167,0.055146344425552524,0.041148511489244984,-0.025504738093367646,0.1357974269444727
Q2,food-cash,819,0.220658180334098,0.3235880642651445,-0.4135627714526178,0.8548791321208138,0.49529538605082724,0.04731454920209943,0.06935633037712374,-0.0886238583370631,0.18325295674126196
Q2,medical-cash,791,0.19417188934183993,0.30839662755057606,-0.4102743936109021,0.798618172294582,0.5289449226835465,0.06700755494505495,0.060170230485874034,-0.05092609680725815,0.18494120669736805
