contrast,feature_set,learner,calibration,cal_se,cal_lo,cal_hi,cal_p,top_bottom,tb_se,tb_lo,tb_hi
food-cash,O,dr,-0.3972652555621064,0.18706876821187418,-0.7639200412573798,-0.030610469866833023,0.03370091270674406,-0.07113497037259905,0.02825471990965599,-0.1265142213955248,-0.015755719349673313
food-cash,O_needs,dr,-0.17315831922637834,0.19258878758545175,-0.5506323428938638,0.2043157044411071,0.3685945853291994,-0.02560452036808822,0.02842366803369822,-0.08131490971413673,0.03010586897796029
food-cash,S,dr,-0.5586934718271721,0.187738448827136,-0.9266608315283587,-0.19072611212598556,0.002921167998452338,-0.06773518609989215,0.02886965203933245,-0.12431970409698376,-0.011150668102800555
food-cash,A,dr,-0.3088099198616717,0.18529256050821177,-0.6719833384577668,0.054363498734423366,0.09559253154161074,-0.03723317552924496,0.028661129403092605,-0.09340898915930647,0.018942638100816547
food-cash,ALL,t,-0.33611899576835974,0.2252177077765892,-0.7775457030104745,0.10530771147375506,0.13558955871314035,-0.04547097705318073,0.02937318485351189,-0.10304241936606404,0.01210046525970257
food-cash,ALL,dr,-0.49361045945483845,0.20330281466211572,-0.8920839761925852,-0.09513694271709167,0.015184150120983408,-0.057504155430911474,0.029309563395580735,-0.11495089968624972,-5.741117557323677e-05
food-cash,ALL,r,-0.4602014326577556,0.1962116057720749,-0.8447761799710224,-0.0756266853444888,0.019004927087336993,-0.06106393958991724,0.028327228571914435,-0.11658530759086953,-0.005542571588964942
medical-cash,O,dr,0.2533188467955765,0.16006723638337658,-0.06041293651584162,0.5670506301069946,0.11351773817186994,0.023166010218012956,0.026689400536637473,-0.029145214833796493,0.0754772352698224
medical-cash,O_needs,dr,0.4786971277631209,0.15625979278580374,0.17242793390294558,0.7849663216232963,0.002187864195921045,0.07240929271961596,0.02700458461077863,0.019480306882489848,0.12533827855674207
medical-cash,S,dr,-0.18722193247977703,0.1548884414405088,-0.4908032777031743,0.11635941274362022,0.22675759382124905,-0.024099761594392866,0.02726358914286139,-0.0775363963144012,0.029336873125615462
medical-cash,A,dr,0.3912819958405686,0.1351313954826417,0.1264244606945909,0.6561395309865463,0.0037847434799313496,0.06805819480130909,0.02667402356277353,0.015777108618272973,0.12033928098434521
medical-cash,ALL,t,0.7357287003933269,0.19313444277100364,0.3571851925621598,1.114272208224494,0.00013929756711204307,0.10198641396917263,0.028059914915298582,0.04698898073518741,0.15698384720315783
medical-cash,ALL,dr,0.36681029784812275,0.16889804011253048,0.035770139227563,0.6978504564686825,0.02987185332258492,0.04279029644202731,0.02764647826261899,-0.011396800952705913,0.09697739383676053
medical-cash,ALL,r,0.40794995273125495,0.16537413290456804,0.08381665223830159,0.7320832532242083,0.01363148721308156,0.04914765914096447,0.02722323331591307,-0.0042098781582251416,0.10250519644015409
medical-food,O,dr,-0.07727357099991683,0.14425386526090697,-0.3600111469112945,0.20546400491146083,0.5921813553898321,-0.022815124438290535,0.026235599355048742,-0.07423689917418608,0.028606650297605
medical-food,O_needs,dr,0.09279852614577201,0.14490833797797426,-0.19122181629105756,0.37681886858260155,0.5219160522331474,0.01487207358135112,0.026217397393186816,-0.03651402530929504,0.06625817247199728
medical-food,S,dr,0.12301200499001072,0.16276892399671594,-0.19601508604355253,0.44203909602357394,0.44980134471154276,0.004131706381467204,0.025982440994341063,-0.04679387796744128,0.055057290730375685
medical-food,A,dr,0.37684056152824263,0.14676888472492847,0.08917354746738282,0.6645075755891025,0.010241174206207307,0.06344702958014484,0.026304945199798136,0.011889336988540493,0.11500472217174917
medical-food,ALL,t,0.05284628931990677,0.19613896751277532,-0.33158608700513287,0.4372786656449464,0.7875965772586431,0.0014724225651716605,0.02668032117132467,-0.05082100693062469,0.05376585206096801
medical-food,ALL,dr,0.1587979033946214,0.17091244708189457,-0.17619049288589195,0.49378629967513477,0.3528277175911655,0.005980334254767461,0.02701288220552161,-0.04696491486805489,0.05892558337758981
medical-food,ALL,r,0.13013270760454473,0.16432357135272288,-0.1919414922467921,0.45220690745588155,0.42840170000123856,0.00676357158941171,0.02664357043618397,-0.04545782646550887,0.05898496964433229
