seed,method,contrast,calibration,top_bottom,tb_lo
20260921,t,food-cash,-0.2388109562892232,-0.0170315125603831,-0.0757479789346681
20260921,t,medical-cash,0.6040528523503954,0.0904467265050054,0.033921914027829
20260921,dr,food-cash,-0.2591665852961723,-0.0397111418879848,-0.0963490325128954
20260921,dr,medical-cash,0.3285423137619617,0.0384687583701933,-0.0156566320346604
20260921,r,food-cash,-0.2377570353319981,-0.0455217353896757,-0.1014169376520011
20260921,r,medical-cash,0.2812027561491413,0.0254226705860556,-0.0281966012617485
20260922,t,food-cash,-0.2027912226788081,-0.0149902596866175,-0.0721262473356433
20260922,t,medical-cash,0.694214735076084,0.069675345333243,0.0148785977583064
20260922,dr,food-cash,-0.3276703337531603,-0.0254239600632542,-0.0834885614304408
20260922,dr,medical-cash,0.5663412010183329,0.0894014317550446,0.0348239977169575
20260922,r,food-cash,-0.1684967120755043,-0.0200262372861751,-0.0775396396306846
20260922,r,medical-cash,0.492250362962695,0.0787228684454666,0.0247112422975033
20260923,t,food-cash,-0.251293356360145,-0.0297111495285706,-0.0870031627566479
20260923,t,medical-cash,0.8326897626954928,0.1046531770051145,0.0496184830598983
20260923,dr,food-cash,-0.3118170820111414,-0.0472536311624256,-0.1047297216696599
20260923,dr,medical-cash,0.6184615961676853,0.0828175230963035,0.0278302805366698
20260923,r,food-cash,-0.1496015703293697,-0.012528386880918,-0.0693204978858766
20260923,r,medical-cash,0.6125062182737147,0.0904442315386195,0.0354318943593865
20260924,t,food-cash,0.1523120280849398,0.0344993953855491,-0.0229021353684923
20260924,t,medical-cash,0.721465389755216,0.0735922696030217,0.0186238684814251
20260924,dr,food-cash,-0.1836270141398845,-0.0187702053469325,-0.0749327504512795
20260924,dr,medical-cash,0.550588832841682,0.0691905140896528,0.0147916237369466
20260924,r,food-cash,-0.2396397456384767,-0.039716912074456,-0.0962923427169467
20260924,r,medical-cash,0.554937562801761,0.0721821723022792,0.0180084891076714
20260925,t,food-cash,0.0779408486684559,-0.011700012719586,-0.0686818333091727
20260925,t,medical-cash,0.8436294327619984,0.1033902875010103,0.0496117279568023
20260925,dr,food-cash,0.0342369263694804,-0.000568281080201,-0.0568030107561491
20260925,dr,medical-cash,0.4191878901836718,0.0878929369452926,0.0332898415760668
20260925,r,food-cash,0.039790555907022,0.0191270556346345,-0.0384461513024851
20260925,r,medical-cash,0.4408969482281825,0.0825637993025464,0.0291560143693101
20260926,t,food-cash,-0.0646895033658743,-0.0313102415970802,-0.0879129497743491
20260926,t,medical-cash,0.7090496462138409,0.070247167243674,0.0154166333643704
20260926,dr,food-cash,0.0094502713374344,-0.0059637028147124,-0.0610729020031516
20260926,dr,medical-cash,0.4839275097556294,0.0662521776030731,0.0112594564729255
20260926,r,food-cash,-0.0915445069389814,-0.0328451681322765,-0.0884984729307092
20260926,r,medical-cash,0.3043164455893154,0.0448242495067025,-0.0094323745890518
20260927,t,food-cash,-0.2180328636030802,-0.0152881037864404,-0.072535660838154
20260927,t,medical-cash,0.7503365291346948,0.1014316782894716,0.0458370244576079
20260927,dr,food-cash,-0.2977756932704045,-0.0278608450340835,-0.084607691613235
20260927,dr,medical-cash,0.6029935704890169,0.1015071263997205,0.0481594709842985
20260927,r,food-cash,-0.2979831230094539,-0.0214114444920951,-0.0783957437610982
20260927,r,medical-cash,0.6008195906738054,0.1072346254369183,0.05339535029544
20260928,t,food-cash,-0.3629715572706557,-0.0337323613244641,-0.0905152718937009
20260928,t,medical-cash,0.6271514937030512,0.0926590755817549,0.0374342771526039
20260928,dr,food-cash,-0.4480812452039467,-0.0444945663528551,-0.100934447415707
20260928,dr,medical-cash,0.4801730152234346,0.0828079058060553,0.0301266441295533
20260928,r,food-cash,-0.3657977938540865,-0.0334948500219186,-0.0907591040000458
20260928,r,medical-cash,0.4039662031886197,0.0768552473214483,0.0226818619026769
20260929,t,food-cash,-0.1595253042718803,-0.0315798635176625,-0.0865643810477127
20260929,t,medical-cash,0.9290104973442528,0.1111540726113419,0.0547722316643317
20260929,dr,food-cash,-0.2892554206937663,-0.0358584812397223,-0.0932477371651909
20260929,dr,medical-cash,0.7058689137860951,0.0954195140802,0.040604703190811
20260929,r,food-cash,-0.3394368887756146,-0.0505169465177416,-0.1069765454474208
20260929,r,medical-cash,0.5673772539631231,0.0894506098610247,0.0354070687655047
20260930,t,food-cash,-0.1491242108735486,-0.0013863242548605,-0.0585993015776875
20260930,t,medical-cash,0.7640306638736539,0.0791160662663552,0.0237554221144301
20260930,dr,food-cash,-0.3487089380786359,-0.0265506680914253,-0.0836063540772066
20260930,dr,medical-cash,0.5824258162818589,0.0858760799646089,0.0321939041281282
20260930,r,food-cash,-0.348865496104698,-0.0243972342266716,-0.0819353351041726
20260930,r,medical-cash,0.5406795593788689,0.0676470952365386,0.0133266483815568
