form_vs_cash,bin_left,bin_right,count,share
food,-0.2539983212713738,-0.24383838842051883,0,0.0
food,-0.24383838842051883,-0.23367845556966388,0,0.0
food,-0.23367845556966388,-0.22351852271880893,0,0.0
food,-0.22351852271880893,-0.21335858986795397,0,0.0
food,-0.21335858986795397,-0.20319865701709902,0,0.0
food,-0.20319865701709902,-0.19303872416624407,0,0.0
food,-0.19303872416624407,-0.18287879131538914,0,0.0
food,-0.18287879131538914,-0.17271885846453416,0,0.0
food,-0.17271885846453416,-0.16255892561367924,3,0.0005457522284882663
food,-0.16255892561367924,-0.15239899276282426,10,0.0018191740949608877
food,-0.15239899276282426,-0.14223905991196933,2,0.00036383481899217757
food,-0.14223905991196933,-0.13207912706111438,15,0.0027287611424413314
food,-0.13207912706111438,-0.12191919421025943,30,0.005457522284882663
food,-0.12191919421025943,-0.11175926135940448,46,0.008368200836820083
food,-0.11175926135940448,-0.10159932850854952,62,0.011278879388757504
food,-0.10159932850854952,-0.09143939565769457,93,0.016918319083136256
food,-0.09143939565769457,-0.08127946280683962,139,0.02528651991995634
food,-0.08127946280683962,-0.07111952995598467,193,0.03511006003274513
food,-0.07111952995598467,-0.060959597105129715,282,0.051300709477897034
food,-0.060959597105129715,-0.05079966425427476,371,0.06749135892304893
food,-0.05079966425427476,-0.04063973140341981,399,0.07258504638893942
food,-0.04063973140341981,-0.030479798552564857,481,0.0875022739676187
food,-0.030479798552564857,-0.020319865701709905,490,0.0891395306530835
food,-0.020319865701709905,-0.01015993285085498,555,0.10096416227032927
food,-0.01015993285085498,0.0,481,0.0875022739676187
food,0.0,0.010159932850854925,479,0.08713843914862653
food,0.010159932850854925,0.020319865701709905,409,0.07440422048390032
food,0.020319865701709905,0.03047979855256483,286,0.05202837911588139
food,0.03047979855256483,0.04063973140341981,217,0.039476077860651264
food,0.04063973140341981,0.050799664254274735,133,0.024195015462979808
food,0.050799664254274735,0.060959597105129715,122,0.02219392395852283
food,0.060959597105129715,0.07111952995598464,74,0.01346188830271057
food,0.07111952995598464,0.08127946280683956,42,0.007640531198835728
food,0.08127946280683956,0.09143939565769454,24,0.004366017827906131
food,0.09143939565769454,0.10159932850854947,21,0.003820265599417864
food,0.10159932850854947,0.11175926135940445,12,0.0021830089139530653
food,0.11175926135940445,0.12191919421025937,7,0.0012734218664726214
food,0.12191919421025937,0.13207912706111435,6,0.0010915044569765327
food,0.13207912706111435,0.14223905991196928,7,0.0012734218664726214
food,0.14223905991196928,0.15239899276282426,4,0.0007276696379843551
food,0.15239899276282426,0.16255892561367918,2,0.00036383481899217757
food,0.16255892561367918,0.17271885846453416,0,0.0
food,0.17271885846453416,0.1828787913153891,0,0.0
food,0.1828787913153891,0.19303872416624407,0,0.0
food,0.19303872416624407,0.203198657017099,0,0.0
food,0.203198657017099,0.21335858986795397,0,0.0
food,0.21335858986795397,0.2235185227188089,0,0.0
food,0.2235185227188089,0.23367845556966382,0,0.0
food,0.23367845556966382,0.2438383884205188,0,0.0
food,0.2438383884205188,0.2539983212713738,0,0.0
medical,-0.2539983212713738,-0.24383838842051883,1,0.00018191740949608878
medical,-0.24383838842051883,-0.23367845556966388,0,0.0
medical,-0.23367845556966388,-0.22351852271880893,2,0.00036383481899217757
medical,-0.22351852271880893,-0.21335858986795397,3,0.0005457522284882663
medical,-0.21335858986795397,-0.20319865701709902,6,0.0010915044569765327
medical,-0.20319865701709902,-0.19303872416624407,10,0.0018191740949608877
