base,expanded,mean_delta_r2,lo,hi,rules_out_plus_001,rules_out_plus_002
O,O+S,0.00348206540654056,-3.692238834364971e-05,0.0068800456348006855,True,True
O,O+A,0.00301645442923505,-0.0010160668305791546,0.006658312659041192,True,True
O,ALL,0.004901493742245331,0.000435787187823282,0.009080879805717595,True,True
