transfer_type,amount,N,ordinal_mean,ordinal_sd,midpoint_mean
cash,200,619,2.9337641357027464,1.6848287101262598,0.2526655896607431
cash,1000,595,2.803361344537815,1.5943889815315346,0.2268067226890756
cash,5000,584,2.702054794520548,1.4549598936115522,0.2008133561643835
food,200,614,2.785016286644951,1.636463655265059,0.2280537459283387
food,1000,620,2.669354838709677,1.513118585736085,0.2009274193548387
food,5000,602,2.627906976744186,1.5123733498717031,0.1946843853820598
medical,200,615,2.461788617886179,1.5286898184746385,0.1769918699186991
medical,1000,612,2.531045751633987,1.45663453709665,0.17859477124183
medical,5000,636,2.520440251572327,1.4660108585441594,0.1792452830188679
