policy,selected_form,N,selected_N,assignment_share,selected_DR_contrast,selected_lo,selected_hi,contribution,contribution_lo,contribution_hi
ml_argmax,food,5497,1626,0.29579770784064036,-0.018902793641541828,-0.0518685218082747,0.013112278241471235,-0.005591403030952703,-0.01538942251899379,0.0039960287867618505
ml_argmax,medical,5497,553,0.1006003274513371,-0.031220623987187508,-0.0859654045467455,0.020517588136907825,-0.003140804996346133,-0.008686642349563938,0.0020275898693268065
ml_argmax,total,5497,2179,0.3963980352919774,,,,-0.008732208027298835,-0.01914746094275395,0.0019498141415701868
