method,metric,medical_minus_food,lo,hi,bootstrap_p,B
t,calibration,0.8428638086396187,0.3705214629580998,1.3128574800672825,0.0,1500
t,top_bottom,0.10747823906538859,0.03760535229581475,0.17442528745921018,0.004,1500
dr,calibration,0.5877088990581341,0.14526982107305808,1.00764874581733,0.009333333333333334,1500
dr,top_bottom,0.07817990025817825,0.011626887517419181,0.14648171061608878,0.021333333333333333,1500
r,calibration,0.5189597914811395,0.07499706729866674,0.9483766182626985,0.017333333333333333,1500
r,top_bottom,0.07094440597573134,-0.0018024584190956742,0.14291752519658393,0.05466666666666667,1500
