seed,estimator,N,medical_selected_N,medical_selected_share,all_cash_value,policy_value,gain_vs_cash,gain_lo,gain_hi,status
20260921,DR,1207,318,0.2634631317315659,0.2226717473585527,0.23366216672314874,0.010990419364596039,-0.0025720140412373253,0.024948175049989363,exploratory RMB1000 Cash-Medical two-arm stress test
20260921,IPW,1207,318,0.2634631317315659,0.2236122618061309,0.2308616404308202,0.007249378624689314,-0.009735915492957749,0.02473177299088649,exploratory RMB1000 Cash-Medical two-arm stress test
20260922,DR,1207,311,0.25766362883181443,0.22441576246290254,0.23302640417658563,0.008610641713683106,-0.004766490390867289,0.023308736434642506,exploratory RMB1000 Cash-Medical two-arm stress test
20260922,IPW,1207,311,0.25766362883181443,0.2236122618061309,0.2352526926263463,0.011640430820215411,-0.005179163214581607,0.028959196354598163,exploratory RMB1000 Cash-Medical two-arm stress test
20260923,DR,1207,319,0.2642916321458161,0.22349933214755446,0.23602002910266268,0.012520696955108148,-0.0007500866740149687,0.02665854264355242,exploratory RMB1000 Cash-Medical two-arm stress test
20260923,IPW,1207,319,0.2642916321458161,0.2236122618061309,0.24312344656172327,0.019511184755592378,0.002649130074565037,0.03774233637116816,exploratory RMB1000 Cash-Medical two-arm stress test
