domain_model,features,r2,adjusted_r2,type_interaction_wald,df,p,N
E1_objective_resources,10,0.03291364418904441,0.022599004866308947,34.29727125314608,20,0.02418270490277708,5497
E2_liquidity_resilience,4,0.023082244785874284,0.018079739821354246,15.70337509314503,8,0.046827933925139655,5497
E3_expectations,6,0.018325778992623554,0.01149111054295704,20.57986830303957,12,0.05688161402552061,5497
E4_protection_precaution,4,0.032406801282958586,0.027452044596038894,17.366628116353844,8,0.026509938487254556,5497
E5_baseline_needs,4,0.045695610964939126,0.040808902315893514,20.084360303160597,8,0.01002155657559097,5497
S1_broader_attitudes,13,0.025949375223461968,0.012837500687469361,45.96074322847408,26,0.009214480903673099,5497
ALL,41,0.09583966393588694,0.05938572647958262,138.76582373738816,82,9.156178936463708e-05,5497
