seed,policy,estimator,value,gain_vs_cash,share_cash,share_food,share_medical
20260921,depth2_tree,IPW,0.22300800436601784,0.0,1.0,0.0,0.0
20260921,depth2_tree,DR,0.22773547094687305,0.0,1.0,0.0,0.0
20260921,ml_argmax,IPW,0.20969164999090412,-0.0133163543751137,0.6036019647080225,0.29579770784064036,0.1006003274513371
20260921,ml_argmax,DR,0.2190032629195742,-0.008732208027298837,0.6036019647080225,0.29579770784064036,0.1006003274513371
20260922,depth2_tree,IPW,0.22671911951973805,0.0037111151537202115,0.9350554848098963,0.06494451519010369,0.0
20260922,depth2_tree,DR,0.2313052902398324,0.003743819968385447,0.9350554848098963,0.06494451519010369,0.0
20260922,ml_argmax,IPW,0.20971893760232854,-0.013289066763689288,0.5975986901946516,0.2852464980898672,0.11715481171548117
20260922,ml_argmax,DR,0.21982686831934115,-0.007734601952105787,0.5975986901946516,0.2852464980898672,0.11715481171548117
20260923,depth2_tree,IPW,0.22701928324540663,0.004011278879388757,0.9194105875932327,0.08058941240676733,0.0
20260923,depth2_tree,DR,0.23326534165583557,0.006169114366108653,0.9194105875932327,0.08058941240676733,0.0
20260923,ml_argmax,IPW,0.21261142441331635,-0.010396579952701473,0.5981444424231399,0.3019828997635074,0.09987265781335274
20260923,ml_argmax,DR,0.21778744910247244,-0.009308778187254417,0.5981444424231399,0.3019828997635074,0.09987265781335274
20260924,depth2_tree,IPW,0.22300800436601784,0.0,1.0,0.0,0.0
20260924,depth2_tree,DR,0.22785784440613754,0.0,1.0,0.0,0.0
20260924,ml_argmax,IPW,0.20677187556849191,-0.016236128797525923,0.6136074222303074,0.2837911588138985,0.10260141895579407
20260924,ml_argmax,DR,0.217566149182511,-0.01029169522362656,0.6136074222303074,0.2837911588138985,0.10260141895579407
20260925,depth2_tree,IPW,0.22300800436601784,0.0,1.0,0.0,0.0
20260925,depth2_tree,DR,0.22771619062716833,0.0,1.0,0.0,0.0
20260925,ml_argmax,IPW,0.2131026014189558,-0.009905402947062034,0.6103329088593779,0.28397307622339457,0.10569401491722757
20260925,ml_argmax,DR,0.22299464903957356,-0.004721541587594789,0.6103329088593779,0.28397307622339457,0.10569401491722757
20260926,depth2_tree,IPW,0.22456339821720941,0.0015553938511915588,0.9388757504093141,0.061124249590685825,0.0
20260926,depth2_tree,DR,0.2265090743884321,-0.00041772105423047376,0.9388757504093141,0.061124249590685825,0.0
20260926,ml_argmax,IPW,0.21488993996725486,-0.008118064398762961,0.6006912861560851,0.2936146989266873,0.10569401491722757
20260926,ml_argmax,DR,0.21994030599717201,-0.006986489445490543,0.6006912861560851,0.2936146989266873,0.10569401491722757
20260927,depth2_tree,IPW,0.22431780971438967,0.001309805348371839,0.9356012370383846,0.06439876296161542,0.0
20260927,depth2_tree,DR,0.22972050540641237,0.0022262360991345503,0.9356012370383846,0.06439876296161542,0.0
20260927,ml_argmax,IPW,0.21067400400218303,-0.012334000363834821,0.6061488084409677,0.29270511187920684,0.10114607967982536
20260927,ml_argmax,DR,0.22025903954879422,-0.007235229758483547,0.6061488084409677,0.29270511187920684,0.10114607967982536
20260928,depth2_tree,IPW,0.22300800436601784,0.0,1.0,0.0,0.0
20260928,depth2_tree,DR,0.22848009003951544,0.0,1.0,0.0,0.0
20260928,ml_argmax,IPW,0.21231126068764783,-0.01069674367837002,0.6110605784973622,0.2897944333272694,0.09914498817536838
20260928,ml_argmax,DR,0.2180383077935526,-0.010441782245962788,0.6110605784973622,0.2897944333272694,0.09914498817536838
20260929,depth2_tree,IPW,0.22300800436601784,0.0,1.0,0.0,0.0
20260929,depth2_tree,DR,0.2281505717216715,0.0,1.0,0.0,0.0
20260929,ml_argmax,IPW,0.2143851191559032,-0.008622885210114608,0.6116063307258505,0.28779334182281247,0.1006003274513371
20260929,ml_argmax,DR,0.2239657650423532,-0.004184806679318326,0.6116063307258505,0.28779334182281247,0.1006003274513371
20260930,depth2_tree,IPW,0.22300800436601784,0.0,1.0,0.0,0.0
20260930,depth2_tree,DR,0.227482491327451,0.0,1.0,0.0,0.0
20260930,ml_argmax,IPW,0.2099645261051483,-0.013043478260869568,0.6059668910314717,0.2994360560305621,0.09459705293796616
20260930,ml_argmax,DR,0.21971346559907767,-0.007769025728373342,0.6059668910314717,0.2994360560305621,0.09459705293796616
