stratum,group,N,minimum_form_N,food_cash_ord,food_lo,food_hi,medical_cash_ord,medical_lo,medical_hi,all_rf_oof_r2
age_under35,False,2240,729,-0.18738983595717817,-0.35330079392439784,-0.02147887798995854,-0.3591229238208702,-0.5210105629495668,-0.19723528469217358,0.049454067927245604
age_under35,True,3257,1047,-0.07323802941945345,-0.20228128261438627,0.05580522377547936,-0.2756145651219515,-0.40113075479475935,-0.15009837544914362,0.04363329536008986
college_plus,False,1159,377,-0.24131825489969927,-0.4648291536109866,-0.01780735618841195,-0.24808184143222523,-0.4709223792513981,-0.025241303613052324,-0.0036987644697588085
college_plus,True,4338,1407,-0.09312343598759343,-0.20751672936536425,0.02126985739017738,-0.3295406700967214,-0.44057103840142264,-0.21851030179202013,0.0539744341445636
income_upper_half,False,1412,452,-0.22321596686123168,-0.4170036022349448,-0.029428331487518583,-0.2598784194528876,-0.4518523339084589,-0.06790450499731626,0.010873664776590242
income_upper_half,True,4085,1328,-0.09291211087123052,-0.21224054841434856,0.026416326671887508,-0.3283680972981511,-0.4444146735617904,-0.2123215210345118,0.0512800540621281
nonagricultural_hukou,False,2679,856,-0.09718182005735398,-0.2421391967142039,0.04777555659949592,-0.3148931399626984,-0.4530769491439416,-0.17670933078145523,0.028014347438769738
nonagricultural_hukou,True,2818,930,-0.13652489555509906,-0.2798159287424544,0.006766137632256308,-0.2998702773550943,-0.44216499788220076,-0.15757555682798788,0.0583422755062879
top_two_city_tiers,False,2319,721,-0.06965228605494334,-0.22439667257055596,0.08509210046066928,-0.1461529126213592,-0.3005965862656591,0.008290761022940657,0.030065344500976532
top_two_city_tiers,True,3178,1038,-0.14586117506883278,-0.28122161513874677,-0.01050073499891882,-0.4225982245724551,-0.5521878604534025,-0.2930085886915077,0.054960134141911365
