train_form,test_form,spearman,recentered_r2,calibration_slope,N_test
cash,food,0.1879468089657944,0.037969174364292035,0.9702992491836013,1836
cash,medical,0.1120999195574692,0.008483789283007082,0.5900126654424,1863
food,cash,0.19793955193990445,0.04708512036877088,1.2413481577101448,1798
food,medical,0.14005122360358283,0.025463891913878434,0.8005264891387627,1863
medical,cash,0.14068976026024232,0.021442114379746635,0.9874997399616898,1798
medical,food,0.15314481290348408,0.024313722831422857,1.0297985115858326,1836
