outcome,fold,r2,rmse
outcome_ord,0,0.0392778976100121,1.555005803036046
outcome_ord,1,0.0575590892602615,1.4926670537244595
outcome_ord,2,0.0297109472598116,1.4678530647342027
outcome_ord,3,0.013924448522736,1.5227817916509412
outcome_ord,4,0.0190757991887592,1.5647032994738228
outcome_ord,5,0.0241460013375005,1.5180500623753683
outcome_ord,6,0.0278473504176625,1.539250425638683
outcome_ord,7,0.0464665773279088,1.507129127436799
outcome_ord,8,0.0354024487640708,1.5373512693907807
outcome_ord,9,0.0096862211982367,1.5152452590957928
mpc_midpoint,0,0.0371833144561647,0.2599028969152512
mpc_midpoint,1,0.0570403937180097,0.2466540492810853
mpc_midpoint,2,0.0309854833438196,0.241693676072526
mpc_midpoint,3,0.013455676249069,0.2508065813859119
mpc_midpoint,4,0.0252751013214267,0.2656483497382479
mpc_midpoint,5,0.0315506396113994,0.2530656062639065
mpc_midpoint,6,0.025608269011073,0.2570144289631661
mpc_midpoint,7,0.0438583478434717,0.2488979658667193
mpc_midpoint,8,0.0377510075842729,0.2566377859476023
mpc_midpoint,9,0.0137081986820125,0.251266200704655
mpc_alt,0,0.0357422669722162,0.2863734269634959
mpc_alt,1,0.0566056783971651,0.2695682492825418
mpc_alt,2,0.0304246102610372,0.2645123051200533
mpc_alt,3,0.0155424522822597,0.2739027596688806
mpc_alt,4,0.0240806368166307,0.2944727554637643
mpc_alt,5,0.0326283167706714,0.278373156009679
mpc_alt,6,0.0242424739766321,0.2817794991626472
mpc_alt,7,0.0419781479323739,0.2730952369054792
mpc_alt,8,0.0367835956929601,0.2827340827220109
mpc_alt,9,0.0135653397434009,0.2757877893132518
any_spend,0,0.0383931173771268,0.4629967771265757
any_spend,1,0.0540280902050004,0.4540399724509585
any_spend,2,0.0357381429969656,0.4493284446432634
any_spend,3,0.0295970236729119,0.458234683939986
any_spend,4,0.0031350859365179,0.4548336469383766
any_spend,5,0.0167527620491282,0.4567252270609049
any_spend,6,0.0301470874212657,0.4550996554296497
any_spend,7,0.0583332814433931,0.4563973750707727
any_spend,8,0.0100194078626477,0.4638953348443403
any_spend,9,0.022651572239799,0.4535462952597938
mpc_10plus,0,0.0379382110492734,0.4898754584419283
mpc_10plus,1,0.0510704252945459,0.4867099178536971
mpc_10plus,2,0.0441413374060454,0.4887816349887861
mpc_10plus,3,0.01606107771982,0.4959337773063064
mpc_10plus,4,0.0204879174846757,0.4948168917761912
mpc_10plus,5,0.0299139016880507,0.4920339546784286
mpc_10plus,6,0.0277336882954838,0.4926583227899202
mpc_10plus,7,0.0422822408356019,0.4886096405611976
mpc_10plus,8,0.0403316289850763,0.4897790549455918
mpc_10plus,9,0.0125083772567025,0.49673449298741
mpc_25plus,0,0.0367357957660099,0.4393529125354909
mpc_25plus,1,0.0466976712712547,0.4361874006492526
mpc_25plus,2,0.0245618689444875,0.4371935814212435
mpc_25plus,3,0.0011976994523902,0.4506161344994999
mpc_25plus,4,0.0283537441179548,0.4448768839219563
mpc_25plus,5,0.015341653509087,0.4410069302672622
mpc_25plus,6,0.0287483644633752,0.447192030068729
mpc_25plus,7,0.0360467979159823,0.4382913654362481
mpc_25plus,8,0.0342862264847902,0.4395890608603246
mpc_25plus,9,0.0202872821375933,0.4427637291289187
mpc_50plus,0,0.0193193030982524,0.3463991366405086
mpc_50plus,1,0.0461548493561991,0.3313575482197555
mpc_50plus,2,0.0276263516324605,0.3195157158744443
mpc_50plus,3,0.0110952706286919,0.3345619134957382
mpc_50plus,4,0.0279919387723661,0.3504039292683277
mpc_50plus,5,0.0373828106944591,0.3309362285932177
mpc_50plus,6,0.0111439053167908,0.3514953599238931
mpc_50plus,7,0.038678884082413,0.3268961983450426
mpc_50plus,8,0.0223614556838512,0.3422809660270306
mpc_50plus,9,0.0142222825427712,0.3330365870167129
