variable,importance_mean,importance_sd
q29_foodexp,0.023049884760498397,0.005133982546541254
type,0.01000326313310811,0.002974112918830589
q30_medexp,0.003781363567062468,0.0012033541643277311
q07_emergfund,0.0033565940524721504,0.0013380302833234069
q31_gotsubsidy,0.0029155656268243122,0.0022708569787233787
q28_hhsize,0.0028069299756504963,0.0007948398734358222
q26_housing,0.002758856460487269,0.001328228259601822
q24_workstat,0.0024509476592529888,0.001474373884660292
q23_hukou,0.0022808196215771794,0.0010616494703513729
q20_ses_next1,0.0020978404470621604,0.0009465196070775362
q42_age,0.001567846593083555,0.000576411870218295
q41_gender,0.0011488444658533715,0.0005844731159562026
q43_edu,0.0011226318445765049,0.0005847965694004807
q18_ses_now,0.001029291402789323,0.0008842341681948602
amount_cat,0.0009744833884708815,0.0008003487817586956
q25_unittype,0.0009723806052354012,0.001055893310025655
q02_safety,0.0009552075772069069,0.0006634717624458425
q01_lifesat,0.0006711689078987449,0.0005092035562714714
q10_effort,0.0004629024901911527,0.00037553721624420007
q09_gain,0.00045067087068101364,0.0004228422517706633
q04_trust_gov,0.0004176396400399129,0.00023955070767092703
q08_support,0.0003837455493930997,0.00039327395797253076
income_h,0.00035506796969985154,0.0007886768435826113
q22_vitality,0.00030622446362845725,0.0004535152853128315
q17e_fut_welfare,0.00029807588243369043,0.0003396304135051899
q49_citytier,0.00023838680314782756,0.00045301338206341627
q21_order,0.00019306180019406093,0.0009606936412113301
q15_fut_self,0.00017492251417350335,0.0002583322892154227
q12_voice,0.00013338473578009547,0.00028008172974895246
q06_socsec,9.726583604460214e-05,0.0003774747801520554
q17a_fut_econ,7.540164534590721e-05,0.0004886292822574572
q03b_fair_opp,-2.0321664486788737e-05,0.0005611146661317022
q13_pressure,-4.710304253066067e-05,0.00029879998756059887
q11_mobility,-9.429537551751688e-05,0.0005507036996426444
q19_ses_past5,-0.00015709723347698823,0.0008150378762683579
q17c_fut_price,-0.00018403709133200108,0.0002948823784625421
q17d_fut_fair,-0.0001868275705481426,0.0002895802196620648
q16_fut_society,-0.00032051553126496437,0.0005057805463935513
q27_minorchild,-0.000324552677445189,0.0004308567963551541
q17b_fut_job,-0.00044956707688689204,0.0004198373965321065
q05_trust_soc,-0.0005339331823550175,0.0006348669297663821
q03a_fair_dist,-0.0005463964500229679,0.0009937385223711891
q03c_fair_rule,-0.0011701250753907266,0.0004035455422047094
