seed,amount,method,calibration,cal_lo,cal_hi,top_bottom,tb_lo,tb_hi,N
20260921,200,t,-0.15829163114927763,-0.7790068048123693,0.46242354251381407,0.004345008109232357,-0.09409991520365746,0.10278993142212217,1234
20260921,200,dr,-0.13656470219287348,-0.6431651005307719,0.3700356961450249,-0.036045783926218655,-0.1329268818760471,0.06083531402360978,1234
20260921,1000,t,1.0349176720804543,0.5046843061823837,1.565151037978525,0.18061793906196497,0.08557042724667117,0.27566545087725874,1207
20260921,1000,dr,0.9254766837758035,0.4672764824313021,1.383676885120305,0.18153679653679652,0.08801599230035255,0.2750576007732405,1207
20260921,5000,t,-0.020445755984159708,-0.7132459492098508,0.6723544372415315,0.007126391664287746,-0.08155793059582454,0.09581071392440003,1220
20260921,5000,dr,-0.24725382462562082,-0.7957037409342856,0.30119609168304395,-0.02376190862118746,-0.10814135711264963,0.06061753987027471,1220
20260922,200,t,0.04589307169157302,-0.5743770635131439,0.6661632068962898,-0.005607858036153657,-0.10176650192981249,0.09055078585750517,1234
20260922,200,dr,-0.21517482853622646,-0.7103953643030851,0.28004570723063216,-0.03694630653750211,-0.134349275482619,0.060456662407614783,1234
20260922,1000,t,1.07855502282918,0.5948652986883333,1.562244746970027,0.20719301689721092,0.11447714377863681,0.299908890015785,1207
20260922,1000,dr,0.840931201439802,0.41628708804418674,1.2655753148354174,0.14005451305821365,0.04774035132641821,0.23236867479000908,1207
20260922,5000,t,0.0685135518493937,-0.5923459386054114,0.7293730423041987,-0.001371311320716856,-0.08794174047693688,0.08519911783550317,1220
20260922,5000,dr,0.04412811376641185,-0.5223104501145159,0.6105666776473397,-0.05292031476383657,-0.14120885938825242,0.035368229860579276,1220
20260923,200,t,-0.03724941544202715,-0.6821913347991996,0.6076925039151452,-0.014781500065591036,-0.10950686675965997,0.0799438666284779,1234
20260923,200,dr,-0.28370943641627455,-0.7845708928877535,0.2171520200552044,-0.03667831842494565,-0.13230184550264373,0.05894520865275242,1234
20260923,1000,t,0.8171815960347371,0.3115012963265612,1.3228618957429128,0.15354342160571655,0.058322211051364536,0.24876463216006856,1207
20260923,1000,dr,0.7297829302105868,0.29718286926470106,1.1623829911564725,0.12340430577055572,0.034563611828842475,0.21224499971226896,1207
20260923,5000,t,-0.14156036913488695,-0.7409686939368132,0.45784795566703934,-0.025114593865857737,-0.1111832258306903,0.06095403809897483,1220
20260923,5000,dr,-0.29948904324544073,-0.8909096355563939,0.2919315490655124,-0.04980356920834694,-0.13442108599410924,0.034813947577415336,1220
20260924,200,t,0.4719606704990655,-0.16463485479288092,1.108556195791012,0.07263768049171501,-0.022829794647496765,0.1681051556309268,1234
20260924,200,dr,0.35790579905469866,-0.16339661997937893,0.8792082180887762,0.060652926969968296,-0.03459299203612512,0.1558988459760617,1234
20260924,1000,t,0.9915536923805381,0.47504767829590666,1.5080597064651697,0.17151166550662805,0.07932225392867445,0.2637010770845817,1207
20260924,1000,dr,0.9712478932492786,0.5392955046861949,1.4032002818123623,0.16795891537257054,0.07875432412100154,0.25716350662413956,1207
20260924,5000,t,-0.10490251514610555,-0.750243127730222,0.5404380974380107,-0.03514768559817613,-0.12623894152498533,0.05594357032863306,1220
20260924,5000,dr,-0.5047862457926359,-1.09692850325519,0.08735601166991847,-0.05656207827260454,-0.14783773246482518,0.034713575919616116,1220
20260925,200,t,0.04321812084846076,-0.5923634442867756,0.6787996859836971,0.008653652820647284,-0.08900083566633252,0.10630814130762709,1234
20260925,200,dr,-0.025122836483977118,-0.5259274432815351,0.4756817703135808,0.036657217931867186,-0.06262175823102333,0.1359361940947577,1234
20260925,1000,t,1.2267463724523113,0.7174467781862075,1.7360459667184152,0.24678649347728285,0.15239531266598266,0.34117767428858303,1207
20260925,1000,dr,1.0950148784493279,0.6450664321705005,1.5449633247281551,0.22668572565048528,0.13683649581035018,0.3165349554906204,1207
