screen,N,age_mean,education_mean,income_mean,scale_sd,extreme_share,mid_share,unique_n,entropy
R,5497,33.20338366381663,3.3347280334728038,3.986356194287793,1.1331675779037194,0.1528227518040143,0.1046631495967497,4.215026378024377,1.1670023677048966
C,5171,33.012570102494685,3.3610520208857086,4.00657513053568,1.201302498225739,0.1112099529426932,0.1074840456391413,4.407271320827693,1.236951015639561
Q1,2715,32.11749539594843,3.358747697974217,3.8920810313075513,1.6077182360155164,0.0838305709023941,0.1467648864333947,5.525598526703499,1.5138964570755806
Q2,1208,31.27400662251656,3.341887417218543,3.781456953642384,2.0181327161398266,0.0919426048565121,0.1604304635761589,6.447019867549669,1.681779665999715
