sample,feature_set,N,r2,rmse,mae
R,O,5497,0.04906472502323567,0.25102120261000366,0.19376611954523568
R,ALL,5497,0.049621221868362375,0.2509477418002437,0.19408732274473373
C,O,5171,0.041962391412155076,0.2524757945040083,0.19457525652962995
C,ALL,5171,0.04486252429581006,0.252093362583064,0.19470314621780405
Q1,O,2715,0.02251972964427673,0.2642942613171814,0.20531230567403075
Q1,ALL,2715,0.022621647406204426,0.26428048253177244,0.20624879928105253
Q2,O,1208,0.022556853472515348,0.27922149581247657,0.2216489353623571
Q2,ALL,1208,0.010040430700150593,0.2810035622317914,0.22463658605066944
