domain,items,retained_components,variance_explained,cronbach_alpha
subjective_economic,14,1,0.7432720393269335,0.9733134102546452
social_confidence,11,1,0.6969918783791932,0.9557349213636778
wellbeing_optimism,5,1,0.7730791041672936,0.926195897119223
