sample,variable,specification,se_type,amount,effect_or_wald,se,lo,hi,p,N
R,income_h,citytier_FE,HC1,joint,15.521020192416845,,,,0.01656930709892217,5497
R,income_h,citytier_FE,HC3,200,-0.25607349121648754,0.09658603280666671,-0.4453786369271584,-0.06676834550581667,0.008019501872395559,5497
R,income_h,citytier_FE,HC3,1000,-0.14161552829995738,0.08750261798958056,-0.31311750811250194,0.029886451512587148,0.10557324368235957,5497
R,income_h,citytier_FE,HC3,5000,-0.06076260290715722,0.08527254391246128,-0.22789371784569157,0.10636851203137711,0.4761122710721585,5497
R,income_h,citytier_FE,HC3,joint,15.326909300941292,,,,0.017860937777280938,5497
R,income_h,citytier_FE,province_cluster,200,-0.25607349121648754,0.10332683348899571,-0.4585903634914863,-0.053556618941488804,0.013201511165511038,5497
R,income_h,citytier_FE,province_cluster,1000,-0.14161552829995738,0.08298091060815681,-0.30425512449628245,0.021024067896367682,0.08789573873324087,5497
R,income_h,citytier_FE,province_cluster,5000,-0.06076260290715722,0.08517511762295599,-0.2277027658271138,0.10617756001279936,0.47560790385182206,5497
R,income_h,citytier_FE,province_cluster,joint,14.07925100442692,,,,0.028763306529912536,5497
R,income_h,citytier_FE,city_cluster,200,-0.25607349121648754,0.09119885080451837,-0.43481995422478525,-0.07732702820818982,0.00498720962827047,5497
R,income_h,citytier_FE,city_cluster,1000,-0.14161552829995738,0.08659512583674729,-0.311338856176696,0.028107799576781223,0.1019704008958641,5497
R,income_h,citytier_FE,city_cluster,5000,-0.06076260290715722,0.08071662772133996,-0.21896428619451086,0.09743908038019643,0.45157661782539693,5497
R,income_h,citytier_FE,city_cluster,joint,16.021638025570308,,,,0.013638297754701868,5497
R,q43_edu,primary,HC1,200,-0.08243806781364942,0.09071224409151311,-0.26023079918982145,0.0953546635625226,0.36346280489738714,5497
R,q43_edu,primary,HC1,1000,-0.2615219892967513,0.08771675009535444,-0.4334436603245464,-0.08960031826895623,0.002868988027564118,5497
R,q43_edu,primary,HC1,5000,-0.11046490155666881,0.08623055597698323,-0.27947368563842107,0.05854388252508343,0.20017916810028402,5497
R,q43_edu,primary,HC1,joint,12.641220377170042,,,,0.04910068832256628,5497
R,q43_edu,primary,HC3,200,-0.08243806781364942,0.09114363229611872,-0.26107630453420383,0.09620016890690498,0.3657381709084121,5497
R,q43_edu,primary,HC3,1000,-0.2615219892967513,0.0881125410866867,-0.43421939641296303,-0.0888245821805396,0.002997004251243764,5497
R,q43_edu,primary,HC3,5000,-0.11046490155666881,0.08660277308883384,-0.28020321777207774,0.05927341465874013,0.20211980776994742,5497
R,q43_edu,primary,HC3,joint,12.526128717242294,,,,0.05120957610968913,5497
R,q43_edu,primary,province_cluster,200,-0.08243806781364942,0.113443612446695,-0.3047834624852914,0.13990732685799256,0.46741734398393264,5497
R,q43_edu,primary,province_cluster,1000,-0.2615219892967513,0.10755916931469446,-0.4723340873605982,-0.050709891232904425,0.015039586332879863,5497
R,q43_edu,primary,province_cluster,5000,-0.11046490155666881,0.09301903105965491,-0.29277885231040507,0.07184904919706746,0.2350101057984333,5497
R,q43_edu,primary,province_cluster,joint,17.82051741977847,,,,0.006696739309116661,5497
R,q43_edu,primary,city_cluster,200,-0.08243806781364942,0.09192424653355323,-0.2626062803253947,0.09773014469809584,0.36982330517344975,5497
R,q43_edu,primary,city_cluster,1000,-0.2615219892967513,0.09601718002120388,-0.44971220403540973,-0.07333177455809287,0.006455512398665265,5497
R,q43_edu,primary,city_cluster,5000,-0.11046490155666881,0.08743237662720083,-0.28182921082872403,0.06089940771538642,0.20643380946074952,5497
R,q43_edu,primary,city_cluster,joint,12.162069890451463,,,,0.05844936185125245,5497
R,q43_edu,controls,HC1,200,-0.08721949549040212,0.08950944956519243,-0.2626547929141837,0.08821580193337944,0.3298497195484352,5497
R,q43_edu,controls,HC1,1000,-0.25091892448377845,0.08661782790807762,-0.420686747602699,-0.08115110136485795,0.003769289632118126,5497
R,q43_edu,controls,HC1,5000,-0.09590136832793604,0.08377055854539707,-0.26008864604171833,0.06828590938584626,0.252287895745418,5497
R,q43_edu,controls,HC1,joint,11.398859019127109,,,,0.07680419229073171,5497
R,q43_edu,controls,HC3,200,-0.08721949549040212,0.09038748394395814,-0.2643757086737525,0.08993671769294823,0.33456934141731687,5497
