policy,ipw_value,se,lo,hi,share_cash,share_food,share_medical,gain_vs_best_uniform,gain_lo,gain_hi
all_cash,0.22300800436601784,0.007606108527203596,0.20805439330543932,0.23849645261051486,1.0,0.0,0.0,0.0,0.0,0.0
all_food,0.2083682008368201,0.007288354346148906,0.1944375341095143,0.22208124886301622,0.0,1.0,0.0,-0.014639803529197748,-0.036866245224668,0.007563102601418974
all_medical,0.18127160269237766,0.006549911609653311,0.16870531653629253,0.19446550391122427,0.0,0.0,1.0,-0.04173640167364018,-0.06351498544660725,-0.020901969255957793
depth2_tree,0.22300800436601784,0.007606108527203596,0.2083951473531017,0.23776173367291253,1.0,0.0,0.0,0.0,0.0,0.0
ml_argmax,0.20969164999090412,0.0073891801544944315,0.1959656403492814,0.22429052210296524,0.6036019647080225,0.29579770784064036,0.1006003274513371,-0.01331635437511372,-0.02771193378206294,0.0013954202292159495
