sample,N,complete_straightline_N,near_straightline_sd_lt1_N,mean_scale_sd,mean_unique,mean_extreme_share,mean_midpoint_share,mean_entropy
R,5497,311,2686,1.1331675779037194,4.215026378024377,0.1528227518040143,0.10466314959674974,1.1670023677048966
A,5480,309,2678,1.1335648208622802,4.21514598540146,0.1527493917274939,0.10434306569343064,1.167203230268644
C,5171,0,2369,1.201302498225739,4.407271320827693,0.11120995294269322,0.10748404563914135,1.236951015639561
Q1,2715,0,0,1.6077182360155164,5.525598526703499,0.08383057090239411,0.14676488643339472,1.5138964570755806
Q2,1208,0,0,2.0181327161398266,6.447019867549669,0.09194260485651214,0.16043046357615895,1.681779665999715
