contrast,calibration,cal_se,cal_lo,cal_hi,cal_p,top_bottom,tb_se,tb_lo,tb_hi
food-cash,0.02175084190616463,0.1714046981776699,-0.3142023665220684,0.3577040503343976,0.8990214596979688,0.013427283858028494,0.02868311732153137,-0.04279162609217299,0.06964619380822998
medical-cash,0.4801198868626009,0.17354632574583773,0.13996908840075895,0.8202706853244428,0.00566576029739886,0.09366677372598572,0.028467320390625453,0.03787082576035984,0.14946272169161162
