feature_set,in_sample_r2,adjusted_r2,cv10_r2,cv10_rmse,outcome_variance,N
T,0.009410799224704003,0.007966791643398863,0.006799261909473553,0.25653902732970985,0.06627486730058396,5497
O,0.06141275790059053,0.05157648785101043,0.039056118911487414,0.25233874560283176,0.06627486730058396,5497
S,0.01706035368443315,0.013109920323281732,0.009173145590366638,0.2562322624850116,0.06627486730058396,5497
A,0.014246435318355566,0.010465462741494402,0.006646404557611563,0.256558767733733,0.06627486730058396,5497
O+S,0.06810135847127341,0.05590508131946892,0.04069513463796581,0.2521234553616806,0.06627486730058396,5497
O+A,0.0662900689545799,0.05424441927282919,0.039191924305329695,0.2523209140862086,0.06627486730058396,5497
ALL,0.0727600668706232,0.05836831624555516,0.04012520860451252,0.252198337909687,0.06627486730058396,5497
