source,target,N,spearman,recentered_r2,slope
cash,food,1836,0.1879468089657944,0.037969174364292,0.9702992491836004
cash,medical,1863,0.1120999195574692,0.0084837892830071,0.5900126654424002
food,cash,1798,0.1979395519399044,0.0470851203687708,1.2413481577101446
food,medical,1863,0.1400512236035828,0.0254638919138784,0.8005264891387629
medical,cash,1798,0.1406897602602423,0.0214421143797466,0.9874997399616908
medical,food,1836,0.153144812903484,0.0243137228314228,1.0297985115858326
