domain,encoded_predictor,context,row_type,standardized_coef,lo,p10,p25,p50,p75,p90,hi,pooled_coef,fixed_display_subset,bootstrap_B
demographics_exposure,q42_age,cash,form,0.0014826842,-0.013948423904366791,-0.009301947709172963,-0.004509701626375318,0.0009545625362079591,0.007732698228210211,0.01087028849869967,0.01719316714443266,-0.002128444,False,300
demographics_exposure,q42_age,food,form,0.0028639392,-0.010903081041760743,-0.006391382450237869,-0.0018581636250019073,0.0019257419626228511,0.006816793465986848,0.010903785098344105,0.016713490011170503,-0.002128444,False,300
demographics_exposure,q42_age,medical,form,-0.010523463,-0.023581740213558078,-0.019360834918916225,-0.015411373926326632,-0.010802681092172861,-0.006614626501686871,-0.002602030616253614,0.0024824187334161222,-0.002128444,False,300
demographics_exposure,q42_age,cash-food,difference,-0.001381255,-0.02091477098874748,-0.014584380015730859,-0.00794853875413537,0.00011305643420200795,0.006122636375948787,0.012659786082804212,0.01934116533957419,-0.002128444,False,300
demographics_exposure,q42_age,cash-medical,difference,0.012006147,-0.007219030777923762,-8.988960180431556e-05,0.00546534510795027,0.011562401428818703,0.018634069710969925,0.025062434375286102,0.031645725015550845,-0.002128444,False,300
demographics_exposure,q42_age,food-medical,difference,0.013387402,-0.004656689881812781,0.0009948186110705147,0.0071997204795479774,0.012930518016219139,0.019350009504705667,0.025069361552596096,0.03332238662987944,-0.002128444,False,300
security_pressure,q06_socsec,cash,form,-0.011164336,-0.03630196703597903,-0.026988978497684002,-0.02081891754642129,-0.011298047378659248,-0.001786031702067703,0.004015832440927629,0.015484338998794539,-0.008913421,True,300
security_pressure,q06_socsec,food,form,-0.005777253,-0.028728833701461554,-0.0211725577712059,-0.014565300429239869,-0.005248175235465169,0.0028709012549370527,0.011388313770294194,0.018884429568424812,-0.008913421,True,300
security_pressure,q06_socsec,medical,form,-0.004616227,-0.028526320401579142,-0.020197035931050777,-0.012270918814465404,-0.005587944993749261,0.0022060396731831133,0.009320875536650425,0.017116298759356136,-0.008913421,True,300
security_pressure,q06_socsec,cash-food,difference,-0.0053870836,-0.04089890383183956,-0.028810747154057025,-0.019118319265544415,-0.004553999286144972,0.0065167625434696674,0.01708938237279655,0.025151873379945747,-0.008913421,True,300
security_pressure,q06_socsec,cash-medical,difference,-0.0065481095,-0.03699394864961505,-0.02685342524200678,-0.017780248541384935,-0.0067826686426997185,0.005599309457466006,0.015276118181645874,0.02863075584173197,-0.008913421,True,300
security_pressure,q06_socsec,food-medical,difference,-0.0011610258,-0.02899622553959489,-0.021145449206233024,-0.01177623332478106,-0.0005812065210193396,0.010782632511109114,0.022010491415858275,0.030926769971847526,-0.008913421,True,300
liquidity,q07_emergfund,cash,form,-0.0039550154,-0.02739944765344262,-0.017955495044589043,-0.011454122373834252,-0.0022151345619931817,0.005852558882907033,0.012992021255195146,0.01998892049305141,0.00062083424,False,300
liquidity,q07_emergfund,food,form,0.0018261025,-0.021028580190613867,-0.012009845953434706,-0.006341588799841702,0.0013674435904249549,0.00986556801944971,0.014555862545967104,0.020939787058159697,0.00062083424,False,300
liquidity,q07_emergfund,medical,form,0.0040034167,-0.014681005594320595,-0.008201888669282198,-0.002671759983059019,0.0038318465230986476,0.010921847308054566,0.01820907015353441,0.022482340363785616,0.00062083424,False,300
liquidity,q07_emergfund,cash-food,difference,-0.005781118,-0.035810825135558846,-0.02634397782385349,-0.016643103677779436,-0.003655319567769766,0.008214979898184538,0.017777903378009798,0.02752292742952702,0.00062083424,False,300
liquidity,q07_emergfund,cash-medical,difference,-0.007958433,-0.03757466217502951,-0.02766139842569828,-0.017970704473555088,-0.006590805249288678,0.004104048013687134,0.011946327518671756,0.0210173106752336,0.00062083424,False,300
liquidity,q07_emergfund,food-medical,difference,-0.0021773144,-0.03266638061031699,-0.02245481386780739,-0.013174248626455665,-0.0037287172162905335,0.0073292485903948545,0.01707868929952384,0.025922574289143078,0.00062083424,False,300
security_pressure,q09_gain,cash,form,0.021395013,-0.006344431173056364,0.0016251836786977958,0.012260486371815205,0.021693669259548187,0.029842150397598743,0.03851084560155869,0.04752733819186682,0.01115775,True,300
