screen,N,food_minus_cash_ordinal,se,lo,hi,p
strict,3262,-0.12119441091510902,0.055058938394380745,-0.22910794719510486,-0.013280874635113168,0.027723570325046975
very_strict,2899,-0.12480018014587707,0.06198340542476933,-0.24628542241756957,-0.003314937874184576,0.04406783147513312
