contrast,learner,calibration,cal_se,cal_lo,cal_hi,cal_p,top_bottom,tb_se,tb_lo,tb_hi
food-cash,t_rf,-0.2506018788407698,0.20970121251185797,-0.6616087028783916,0.160404945196852,0.2320703928313863,-0.03567108280983686,0.02959701891366271,-0.09368123988061577,0.022339074260942053
food-cash,dr,-0.675378086145919,0.33592230406917123,-1.3337737037252073,-0.01698246856663055,0.044376315264519586,-0.0295904005896592,0.028343616510478415,-0.0851438889501969,0.025963087770878496
food-cash,r,-0.9565530988749117,0.44160903471742596,-1.822090902168565,-0.09101529558125843,0.030306354349908214,-0.04783630698431099,0.02818611029929076,-0.10308108317092088,0.007408469202298901
medical-cash,t_rf,0.6705284408493773,0.185716390656072,0.30653100382470516,1.0345258778740496,0.0003056110301404828,0.10010422028736984,0.027839571919146877,0.04553865932584197,0.15466978124889771
medical-cash,dr,0.7170194984282167,0.22913348670155634,0.2679261168410788,1.1661128800153544,0.001752439297173271,0.07240857386845936,0.02717896871759675,0.01913779518196973,0.125679352554949
medical-cash,r,0.6957665101425283,0.4643257410199872,-0.21429521935151896,1.6058282396365757,0.13401771408826366,0.03285311844526875,0.027371337598839255,-0.020794703248456184,0.08650094013899369
medical-food,t_rf,0.07774736855733119,0.18300729360294246,-0.2809403358125835,0.4364350729272458,0.670959092603624,-0.001676825181824021,0.02636712243748302,-0.05335638515929073,0.05000273479564269
medical-food,dr,0.0829923086743198,0.24355217964977044,-0.39436119179545936,0.5603458091440989,0.7332859101748432,-0.0007141353112224136,0.026152843448191423,-0.0519737084696776,0.050545437847232776
medical-food,r,0.015830350036754422,0.42896839583809493,-0.8249322563118333,0.856592956385342,0.9705621073421683,0.003778323060421529,0.02595573088797541,-0.04709490948001028,0.05465155560085334
