variable,contrast,effect,randomization_p,permutations,scheme,BH_q
income_h,medical-cash,-0.11812576697505053,0.025974025974025976,1000,form permuted within amount,0.04195804195804196
income_h,medical-food,-0.15318979670674482,0.005994005994005994,1000,form permuted within amount,0.008991008991008992
q43_edu,medical-cash,-0.10197506404613757,0.05194805194805195,1000,form permuted within amount,0.051948051948051945
q43_edu,medical-food,-0.14903546279924526,0.001998001998001998,1000,form permuted within amount,0.005994005994005994
q30_medexp,medical-cash,0.11691446349804625,0.027972027972027972,1000,form permuted within amount,0.04195804195804196
q30_medexp,medical-food,0.13595504503425596,0.011988011988011988,1000,form permuted within amount,0.01198801198801199
