kind,model,assumed_reliability,observed_r2,observed_lo,observed_hi,conditional_latent_r2,conditional_lo,conditional_hi,interpretation
reliability_scenario,O,0.3,0.0465272672425799,0.0387882402067796,0.05358958665013,0.15509089080859967,0.12929413402259868,0.17863195550043334,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.31,0.0465272672425799,0.0387882402067796,0.05358958665013,0.15008795884703194,0.12512335550574066,0.17286963435525807,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.32,0.0465272672425799,0.0387882402067796,0.05358958665013,0.14539771013306219,0.12121325064618625,0.16746745828165624,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.33,0.0465272672425799,0.0387882402067796,0.05358958665013,0.1409917189169088,0.11754012183872606,0.16239268681857574,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.34,0.0465272672425799,0.0387882402067796,0.05358958665013,0.13684490365464674,0.1140830594317047,0.15761643132391176,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.35,0.0465272672425799,0.0387882402067796,0.05358958665013,0.132935049264514,0.11082354344794172,0.15311310471465714,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.36,0.0465272672425799,0.0387882402067796,0.05358958665013,0.12924240900716638,0.1077451116854989,0.14885996291702777,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.37,0.0465272672425799,0.0387882402067796,0.05358958665013,0.1257493709258916,0.10483308163994487,0.14483672067602704,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.38,0.0465272672425799,0.0387882402067796,0.05358958665013,0.12244017695415763,0.10207431633363052,0.1410252280266579,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.39,0.0465272672425799,0.0387882402067796,0.05358958665013,0.11930068523738435,0.09945702617122974,0.13740919653879485,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.4,0.0465272672425799,0.0387882402067796,0.05358958665013,0.11631816810644974,0.096970600516949,0.133973966625325,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.41,0.0465272672425799,0.0387882402067796,0.05358958665013,0.11348113961604854,0.09460546391897465,0.1307063089027561,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.42,0.0465272672425799,0.0387882402067796,0.05358958665013,0.11077920772042833,0.09235295287328477,0.12759425392888096,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.43,0.0465272672425799,0.0387882402067796,0.05358958665013,0.1082029470757672,0.09020520978320838,0.12462694569797675,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.44,0.0465272672425799,0.0387882402067796,0.05358958665013,0.10574378918768158,0.08815509137904455,0.12179451511393181,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.45,0.0465272672425799,0.0387882402067796,0.05358958665013,0.10339392720573311,0.08619608934839912,0.11908797033362221,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.46,0.0465272672425799,0.0387882402067796,0.05358958665013,0.10114623313604325,0.08432226131908609,0.11649910141332608,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.47,0.0465272672425799,0.0387882402067796,0.05358958665013,0.09899418562251043,0.08252817065272257,0.11402039712793617,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.48,0.0465272672425799,0.0387882402067796,0.05358958665013,0.09693180675537479,0.08080883376412418,0.11164497218777084,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.49,0.0465272672425799,0.0387882402067796,0.05358958665013,0.09495360661751,0.07915967389138695,0.10936650336761225,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.5,0.0465272672425799,0.0387882402067796,0.05358958665013,0.0930545344851598,0.0775764804135592,0.10717917330026,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.51,0.0465272672425799,0.0387882402067796,0.05358958665013,0.0912299357697645,0.0760553729544698,0.10507762088260784,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.52,0.0465272672425799,0.0387882402067796,0.05358958665013,0.08947551392803826,0.0745927696284223,0.10305689740409615,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.53,0.0465272672425799,0.0387882402067796,0.05358958665013,0.08778729668411302,0.07318535888071623,0.10111242764175471,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.54,0.0465272672425799,0.0387882402067796,0.05358958665013,0.08616160600477758,0.07183007445699925,0.0992399752780185,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.55,0.0465272672425799,0.0387882402067796,0.05358958665013,0.08459503135014526,0.07052407310323563,0.09743561209114544,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.56,0.0465272672425799,0.0387882402067796,0.05358958665013,0.08308440579032124,0.06926471465496357,0.09569569044666071,"fold-bootstrap interval transformed; reliability assumed, not estimated"
reliability_scenario,O,0.57,0.0465272672425799,0.0387882402067796,0.05358958665013,0.08162678463610509,0.06804954422242036,0.0940168186844386,"fold-bootstrap interval transformed; reliability assumed, not estimated"
