variable,estimand,ordered_logit_coef,se,lo,hi,p,converged
q17c_fut_price,food-cash,0.1368930611077709,0.060646081984385716,0.018026740418374917,0.2557593817971669,0.023992774324390842,True
q17c_fut_price,medical-cash,0.17082217562510088,0.06058918535716025,0.052067372325066794,0.28957697892513495,0.004812087772956106,True
q17c_fut_price,medical-food,0.03392911451732997,0.06071354875222839,-0.08506725441065441,0.15292548344531434,0.576271427438038,True
q05_trust_soc,food-cash,0.08305267509885941,0.061433992092971665,-0.03735794940336505,0.2034632996010839,0.1764069888922002,True
q05_trust_soc,medical-cash,0.13102785677223794,0.060926557680653845,0.0116118037181564,0.2504439098263195,0.03150882027242751,True
q05_trust_soc,medical-food,0.047975181673378525,0.0606323826140578,-0.07086210454702731,0.16681246789378434,0.42879995795134995,True
q30_medexp,food-cash,-0.0157922587517616,0.060209701086814206,-0.13380327288191746,0.10221875537839424,0.7930997115523862,True
q30_medexp,medical-cash,0.1550709760838848,0.060431585882104524,0.036625067754959925,0.27351688441280964,0.010286152051452998,True
q30_medexp,medical-food,0.1708632348356464,0.06011785815365655,0.053034398026791926,0.28869207164450084,0.004481212315360032,True
income_h,food-cash,0.04684179208448581,0.059616711636617636,-0.07000696272328477,0.16369054689225637,0.4320340065517424,True
income_h,medical-cash,-0.10826432670739417,0.06106283188056301,-0.22794747719329767,0.011418823778509335,0.07622890827014277,True
income_h,medical-food,-0.15510611879187997,0.060080371323012645,-0.27286148276277783,-0.0373507548209821,0.009833101330675153,True
q49_citytier,food-cash,0.032144825157839604,0.059555312731255236,-0.08458358779542066,0.14887323811109987,0.5893712468869893,True
q49_citytier,medical-cash,0.10788186320442718,0.05934301704770508,-0.008430450209074777,0.22419417661792912,0.06907377053649438,True
q49_citytier,medical-food,0.07573703804658757,0.05782061189807958,-0.037589278837716525,0.18906335493089166,0.19024243241655736,True
q03a_fair_dist,food-cash,0.047074360674808864,0.06094386402485861,-0.072375612813914,0.16652433416353174,0.4398647286921168,True
q03a_fair_dist,medical-cash,0.13019322533009772,0.060891575088781846,0.010845738156085305,0.24954071250411014,0.032507363815888216,True
q03a_fair_dist,medical-food,0.08311886465528887,0.05987821452078307,-0.034240279264009243,0.20047800857458697,0.16509685916373584,True
q11_mobility,food-cash,0.05028137064376806,0.06198351240619451,-0.07120631367237318,0.1717690549599093,0.41724762624450906,True
q11_mobility,medical-cash,0.13678731853023282,0.06120328307650349,0.016828883700285985,0.2567457533601797,0.025419514701023896,True
q11_mobility,medical-food,0.08650594788646476,0.06005956509094014,-0.031208636618917013,0.20422053239184654,0.14977238855064892,True
q43_edu,food-cash,0.0495938602633632,0.06032056005909691,-0.06863443745246675,0.16782215797919314,0.4109791559752326,True
q43_edu,medical-cash,-0.10610621443758265,0.06012771462652654,-0.22395653510557467,0.011744106230409362,0.07761745269087203,True
q43_edu,medical-food,-0.15570007470094585,0.06001468928090933,-0.27332670423489014,-0.038073445167001535,0.009476552161615096,True
q13_pressure,food-cash,0.08249877237202075,0.06154106732089132,-0.03812171957692624,0.20311926432096772,0.18006715678374985,True
q13_pressure,medical-cash,0.12395551874280594,0.061069820876675576,0.0042586698245218185,0.24365236766109005,0.042383540044948015,True
q13_pressure,medical-food,0.0414567463707852,0.06071275698686103,-0.07753807072559496,0.16045156346716535,0.4947116212167926,True
q17d_fut_fair,food-cash,0.10049458363956905,0.060531208357095245,-0.018146584740337632,0.21913575201947572,0.0968719936425551,True
q17d_fut_fair,medical-cash,0.09855568015974496,0.06061716870429116,-0.020253970500665713,0.21736533082015563,0.10397715852148907,True
q17d_fut_fair,medical-food,-0.001938903479824089,0.06050461745096779,-0.1205257745820946,0.11664796762244642,0.9744357293652733,True
q19_ses_past5,food-cash,0.06361413988120675,0.060858055329817355,-0.05566764856523526,0.18289592832764875,0.2958903001199389,True
q19_ses_past5,medical-cash,0.11281895441385115,0.06042876343214934,-0.005621421913161562,0.23125933074086386,0.0619051627618411,True
q19_ses_past5,medical-food,0.0492048145326444,0.060088854114060744,-0.06856717540319611,0.1669768044684849,0.41286196879845183,True
q17b_fut_job,food-cash,0.04543429284719845,0.06078882164667492,-0.0737117975802844,0.1645803832746813,0.45481492307900795,True
q17b_fut_job,medical-cash,0.09572108486937907,0.060749184198687495,-0.023347316160048426,0.21478948589880656,0.11510028888123924,True
q17b_fut_job,medical-food,0.050286792022180615,0.0602692439993212,-0.06783875559194572,0.16841233963630695,0.40407305079464884,True
q23_hukou,food-cash,0.008444974498662397,0.05893473370404424,-0.10706710356126431,0.1239570525585891,0.8860582519615783,True
q23_hukou,medical-cash,0.0864330736643122,0.059095723306758496,-0.02939454401693445,0.20226069134555885,0.14357839792467889,True
q23_hukou,medical-food,0.0779880991656498,0.05902462157273839,-0.03769803331802336,0.19367423164932296,0.18640775371605234,True
q17e_fut_welfare,food-cash,0.10904450971482181,0.06130926700938111,-0.011121653623565153,0.22921067305320877,0.07530577243974575,True
q17e_fut_welfare,medical-cash,0.07087901446961187,0.06065845348668157,-0.048011554364284004,0.18976958330350774,0.2426077207443954,True
q17e_fut_welfare,medical-food,-0.03816549524520994,0.059801606758581594,-0.15537449070965695,0.07904350021923706,0.5233423020345379,True
q29_foodexp,food-cash,-0.0039574545834702955,0.06084201837447226,-0.12320781059743593,0.11529290143049534,0.9481383610462077,True
q29_foodexp,medical-cash,-0.07023705499964294,0.06060127154413078,-0.18901554722613928,0.048541437226853376,0.24645496572551717,True
q29_foodexp,medical-food,-0.06627960041617265,0.05985745744069996,-0.18359806120608363,0.05103886037373835,0.26816830386375934,True
