screen,N,age_mean,education_mean,income_mean,scale_sd,extreme_share,mid_share,unique_n,entropy
R,5497,33.20338366381663,3.3347280334728033,3.986356194287793,1.1331675779037194,0.1528227518040143,0.10466314959674974,4.215026378024377,1.1670023677048966
C,5171,33.012570102494685,3.3610520208857086,4.00657513053568,1.201302498225739,0.11120995294269322,0.10748404563914135,4.407271320827693,1.236951015639561
Q1,2715,32.11749539594843,3.3587476979742172,3.8920810313075505,1.6077182360155164,0.08383057090239411,0.14676488643339472,5.525598526703499,1.5138964570755806
Q2,1208,31.274006622516556,3.341887417218543,3.781456953642384,2.0181327161398266,0.09194260485651214,0.16043046357615895,6.447019867549669,1.681779665999715
