source,target,N,spearman,recentered_r2,slope
cash,food,1836,0.1879468089657944,0.037969174364292035,0.9702992491836004
cash,medical,1863,0.1120999195574692,0.008483789283007193,0.5900126654424002
food,cash,1798,0.19793955193990445,0.04708512036877088,1.2413481577101446
food,medical,1863,0.14005122360358283,0.025463891913878434,0.8005264891387629
medical,cash,1798,0.14068976026024232,0.021442114379746635,0.9874997399616909
medical,food,1836,0.15314481290348408,0.024313722831422857,1.0297985115858326
